Police_Station,Phone_Number,Address,Latitude,Longitude
Phagi Police Station,282122,"Fhagi, Jaipur, SH-12, Malpura Road, Phagi, Phagi, Rajasthan 303005",26.59176,75.58003
Phulera Police Station,244030,"Station Road, Sambhar Main Road, Phulera, Jaipur – 303338, Near Sambhar Railway Station",26.87603,75.22544
Pragpura Police Station,244152,"Delhi – Jaipur Expy, Kirarod, Rajasthan 303107",27.62311,76.11021
Ramganj Police Station,"2661676, 2661170","Surajpol Bazar Rd, near Ramganj choupad, Shrimal Colony, Laxmi Narayan Puri, Jaipur, Rajasthan 302002",27.62311,76.11021
Ramgarh Police Station,252142,"Surajpol Bazar Rd, near Ramganj choupad, Shrimal Colony, Laxmi Narayan Puri, Jaipur, Rajasthan 302002",26.92106,75.83576
Renwal Police Station,220050,"Jaisinghpura at Roopwas, Rajasthan 303904",26.72528,75.62036
Sambhar Police Station,224229,"Sambhar Lake, Jaipur – 303604, Jobner",26.9099,75.1862
Samod Police Station,240054,"RJ SH 37, Samod, Rajasthan 303806",27.31438,75.83576
Sanganer Police Station,"0141-2545920,2721677","29, Tonk Road, Near, Airport Terminal 1, Nand Colony, Sanganer, Jaipur, Rajasthan 302029",26.82168,75.7956
Sanganer Sadar Police Station,0141-2771662,"2, Tonk Rd, Sukhpuria, Shatabdi Nagar, Govardhan Nagar, Jaipur, Rajasthan 302033",26.78537,75.8203
Shahpura Police Station,222044,"NH8 – Shahpura Link Rd, Jaipur, Rajasthan 303103",27.38877,75.94035
Shastri Nagar Police Station,"2304135, 2308100","Shastri nagar, Jaipur, Rajasthan 302016",26.93574,75.79869
Shiprapath Police Station,0141-2784239,"Aravali Marg, Shipra Path, Mansarovar, Jaipur, Rajasthan 302020",26.86471,75.77302
Shyam Nagar Police Station,0141-2811000,"Kings Rd, Nirman Nagar, Jaipur, Rajasthan 302019",26.89118,75.75128
Sodala Police Station,0141-2295866,"Hawa Sadak Rd, Ramnagar Extension, Civil Lines, Jaipur, Rajasthan 302019",26.90225,75.77651
Subhash Chowk Police Station,"2635840, 2631790","1500, Motikatla Bazar Road, Subhash Chowk, Char Darwaja, Ramchandra Chaukari, Jaipur, Rajasthan 302002",26.9291,75.83173
Transport Nagar Police Station,"0141-2610655, 2618574","National Highway 11, Sethi Colony, Jaipur, Rajasthan 302004",26.90444,75.83231
Vaishali Nagar Police Station,2352088,"13, Vaishali Marg, Nemi Nagar Extension, Block A, Vaishali Nagar, Jaipur, Rajasthan 302021",26.91462,75.7414
VidhayakPuri Police Station,0141-2368080,"Sanjay Marg, Opp Kotak Mahindra Bank, Gopalbari, Jaipur, Rajasthan 302001",26.9176,75.79501
Viratnagar Police Station,234010,"Shahpura Road, Viratnagar, Rajasthan 303103",27.43186,76.16308
Vishwakarma Police Station,2330507,"Rd Number 5, Vishwakarma Industrial Area, Jaipur, Rajasthan 302013",26.97965,75.77722
